title,description,directed_by,written_by,produced_by,starring,cinematography,edited_by,release_date,country,language,Unnamed: 0.1,Unnamed: 0
Nasoor,"Nasoor  (Gujarati: નાસૂર)  is a 2024 Indian Gujarati psychological thriller film directed by Rishil Joshi, written by Kajal Mehta and produced by Manoj Ahir. It stars Hitu Kanodia, Niilam Paanchal, Denisha Ghumra, and Heena Jaikishan in a lead role. It was released on 23 February 2024.[1][2]",Rishil Joshi,Kajal Mehta,Manoj Ahir,"Hitu Kanodia, Niilam Paanchal, Denisha Ghumra, Heena Jaikishan, Hemin Trivedi, Vaishakh Ratanben",Suman Sahu,Parth Y. Bhatt,23 February 2024,India,Gujarati,,
The Naughty List of Mr. Scrooge,A group of former college friends gather for a reunion at a winter chalet fifteen years after one of their own dies during their production of A Christmas Carol. The group then finds themselves being stalked and killed off one by one by someone dressed as a terrifying vision of Ebenezer Scrooge.[3],Jake Helgren,Jake Helgren,"Jake Helgren, Autumn Federici, James R. Black","Skye Coyne, Colin Koth, Kim Whalen, Liz Fenning",Horacio Martinez,Danny Draven,"December 20, 2024",United States,English,,
Navardev Bsc. Agri,"Navardev Bsc. Agri (transl. Groom Bsc. Agri) is a 2024 Indian Marathi-language drama film directed and co-written by Ram Khatmode and produced by Aaryans Entertainment. The film stars Kshitij Date, Priyadarshini Indalkar in the leading roles while Makarand Anaspure, Pravin Tarde, Sandeep Pathak, Hardeek Joshi, Tanaji Galgunde in the supporting roles. The film centres on a young farmer Rajvardhan (Kshitij Date). After returning to the hamlet, he continues farming and helps other people grow more crops. He starts wooing ladies simultaneously, but because he is a farmer, he gets rejected.",Ram Khatmode,"Ram Khatmode, Vinod Vanve",,"Kshitij Date, Priyadarshini Indalkar",Sanjivkumar Hilli,"Vinay Shinde, Mayuresh Bavare",26 January 2024,India,Marathi,,
Navra Maza Navsacha 2,"Navra Maza Navsacha 2 is a 2024 Indian Marathi-language comedy-drama film directed and produced by Sachin Pilgaonkar. A sequel to the 2004 film Navra Maza Navsacha, it features Hemal Ingle and Swapnil Joshi as the daughter and son-in-law of Sachin and Supriya Pilgaonkar. The film also stars Ashok Saraf, Siddharth Jadhav, and Nirmiti Sawant in supporting roles.[4]",Sachin Pilgaonkar,"Story and Screenplay:, Sachin Pilgaonkar, Dialogues:, Santosh Pawar",Sachin Pilgaonkar,"Sachin Pilgaonkar, Supriya Pilgaonkar, Hemal Ingle, Swapnil Joshi, Ashok Saraf, Nirmiti Sawant, Siddharth Jadhav, Vaibhav Mangle","Parag Deshmukh, Nitin Bandekar",Faizal Mahadik,20 September 2024,India,Marathi,,
Navras Katha Collage,"Navras Katha Collage[1][2] is a 2024 Indian Hindi-language drama film written and directed by Praveen Hingonia.[3][4][5] It is produced by Praveen Hingonia, SKH Patel and co produced by Abhishek Mishra.[6] It stars Praveen Hingonia, Alka Amin, Sheeba Chaddha, Atul Shrivastava, Sunita Rajwar, Paritosh Tripathi, Dayanand  Shetty, Rajesh Sharma and Shaji Chaudhary.[7][8] Before its release the film screened and awarded in various film festivals.[9][10][11] The film is set to release in theaters on 25 October 2024.[12]",Praveen Hingonia,Praveen Hingonia,"SKH Patel, Praveen Hingonia","Praveen Hingonia, Alka Amin, Sheeba Chaddha, Atul Shrivastava, Sunita Rajwar, Paritosh Tripathi, Shaji Chaudhary, Dayanand Shetty, Rajesh Sharma, Nilu Kohli, Revathi Pillai, Amardeep Jha, Swar Hingonia",,Ajay Varma,25 October 2024,India,Hindi,,
Nawi,"NAWI was selected as the Kenyan's entry for Best International Feature Film at the 97th Academy Awards.[2] The film's lead actress, Michelle Lemuya Ikeny, won the African Movie Academy Award for Best Promising Actor for her performance in the film.[3] The films' festival premiere was celebrated on October 25, 2024, at the Hof International Film Festival.[4]","Toby and Kevin Schmutzler, Apuu Mourine, Vallentine Chelluget",Milcah Cherotich,"Lydia Wrensch, Caroline Heim, Brizan Were, Ludwig Bayern (EP), Steven Haft, (EP), Katja Eichinger, (EP), Matthias Rosenberger (EP)","Michelle Lemuya, Joel Liwan, Ochungo Benson, Ben Tekee, Michelle Chebet Tiren, Patrick Oketch, Nungo Marrianne Akinyi, Nyokabi Macharia","Klaus Kneist, Mwende Renata",,August 2024,Kenya,"Swahili, English",,
Nayab,"Nayab is a Pakistani coming-of-age sports drama film, directed by Umair Nasir Ali in his directorial debut.[1] Set in Karachi, it features Yumna Zaidi in the title role, an aspiring cricketer desiring to play in the Cricket World Cup. Jawed Sheikh, M. Fawad Khan, and Noreen Gulwani appeared in prominent roles. It released theatrically in Pakistan on 26 January 2024, and on 2 February internationally.",Umair Nasir Ali,"Ali Abbasi Naqvi, Basit Naqvi",,"Yumna Zaidi, Jawed Sheikh, Fawad Khan, Noreen Gulwani",Shajee Hasan,,26 January 2024,Pakistan,Urdu,,
Nayan Rahasya,Nayan Rahasya is the 2024 Bengali  mystery thriller film directed by Sandip Ray based on the same name novel of Feluda series by Satyajit Ray.[1][2][3] The film is the sequel of 2022 Feluda film Hatyapuri and the second film of the second reboot of the film series. This film was released on 10 May 2024 under the banner of Surinder Films.[4][5][6],Sandip Ray,"Satyajit Ray, Sandip Ray","Nispal Singh, Surinder Singh","Indraneil Sengupta, Abhijit Guha, Ayush Das, Abhinav Barua, Mohan Agashe",Sashanka Palit,Subrata Roy,10 May 2024,India,Bengali,,
Nayanthara: Beyond the Fairytale,"Nayanthara: Beyond the Fairytale is a 2024 Indian documentary film that explores the early life and career of actress Nayanthara, highlighting her personal and professional journey to becoming one of the leading figures in Indian cinema.[1] The film was directed by Amith Krishnan and produced and distributed by Netflix.[2][3]",Amith Krishnan,,"Gubendiran. V.K, Tarc Studio LLP",Nayanthara,,"Amith Krishnan, Pradeep E. Ragav","November 18, 2024",India,"English, Tamil, Malayalam",,
Neath's Love Story: Post Angkor Youth,The first Khmer film to be produced  has three sequel completed at a cost of $1 million.[6][7],Leak Lyda,"Leak Lyda, Diep Sovanndara",Leak Lyna,"Paing Takhon, Mélia Constantin, Tep Rindaro, Ngoun Soben, Chea Sovannorea",Him Thideth,,1 August 2024(Cambodia),Cambodia,Khmer,,
Neath's Love Story: Tomorrow Again,The first Khmer film to be produced  has three sequel completed at a cost of $1 million.[4][5][6],Leak Lyda,"Leak Lyda, Diep Sovanndara",Leak Lyna,"Paing Takhon, Mélia Constantin, Ngoun Soben, Chea Sovannorea",Him Thideth,,19 September 2024(Cambodia),Cambodia,Khmer,,
Neela Nira Sooriyan,,Samyuktha Vijayan,Samyuktha Vijayan,Mala Manyan,"Samyuktha Vijayan, Kitty Krishnamoorthy, Gajaraj, Masanth Natarajan",Steev Benjamin,Steev Benjamin,4 October 2024,India,Tamil,,
Neer Mel Neruppu,"Neer Mel Neruppu, also known as Fire on Water, is a 2024 Malaysian Tamil-language romantic drama directed by Sun-J Perumal and written by Sivanantham Perianan. The film stars Karnan Kanapathy as Karthi and Rubini Sambanthan in the pivotal roles.[1] In January 2024, the film had its world premiere in the Harbour section of the International Film Festival Rotterdam.[2] The film was also premiered at Osaka Asian Film Festival in March 2024.[3] The film opened to positive reviews from critics, especially praising the screenplay, direction of the film, cinematography and the performance of the protagonist.[4]",Sun-J Perumal,"Sun-J Perumal, Sivanantham Perianan",,"Karnan Kanapathy, Rubini Sambanthan, Rupini Krishnan, Tinesh Sarathi Krishnan",Gwai Lou,,January 2024,Malaysia,Tamil,,
Nenu-Keerthana,"Nenu-Keerthana is an Indian Telugu language film multi-genre film written and directed by Chimata Ramesh Babu (CHR).[2][3] Produced by Chimata Lakshmi Kumari under the banner Chimata productions,[1] the movie is presented by Chimata Jyothirmaye - USA.[4] the movie stars Chimata Ramesh Babu, Rishitha, and Meghana in lead roles.[5] The cinematography was by K Ramana, music was by M. L. Raja, and editing was by Vinay Reddy Bandarapu.[6]",Chimata Ramesh Babu,Chimata Ramesh Babu,Chimata Lakshmi Kumari,"Chimata Ramesh Babu,, Rishitha,
Meghana,
Jeeva,
Vijay Rangaraju,, Manjunath.",K. Ramana,Vinay Reddy Bandarapu,30 August 20241,India,Telugu,,
Neon Dreaming,"The cast also includes Corey Loranger, Geneviève Langlois, Maïna-Rose Caméus, Caroline Raynaud, Sheila Isaro, Pierre-André Muila, Hélène Dallaire, Grey Reich, Nicole Prefontaine, Baeyen Hoffman, Jasper Green, Émile Legault and Mike Skakoon in supporting roles.",Marie-Claire Marcotte,Marie-Claire Marcotte,"Corey Loranger, Marie-Claire Marcotte","Maélya Boyd, Corey Loranger, Geneviève Langlois, Caroline Raynaud, Maïna-Rose Caméus, Sheila Ingabire Isaro",Brennan Full,Maria Todorov-Topouzov,"September 15, 2024(Cinéfest Sudbury)",Canada,French,,
The Neon Highway,"Wayne Collins pursues a career as a country music singer-songwriter in Nashville but his plans are derailed after he is involved in a car accident. Seven years later, he is economically struggling with a 9 to 5 job to support his family until he meets Claude Allen, a famous country musician near the end of his career. The two form a partnership to pair Collins's songwriting and Allen's fame but face a challenge when they find the changing country music industry is not interested in recording their song.[2]",William Wages,"Phillip Rob Bellury, William Wages",Stratton Leopold,"Rob Mayes, Beau Bridges, Sam Hennings, T.J. Power, Lee Brice, Pam Tillis, Jennifer Bowles, Sandra Lee-Oian Thomas, Wilbur T. Fitzgerald, Brett Gentile",Paul Krumper,Cindy Parisotto,"February 27, 2024(Plex)",United States,English,,
Netru Indha Neram,The film was shot in Ooty and Chennai.[2][3],Sai Roshan K.R,Sai Roshan K.R,K.R. Naveen Kumar,"Shariq Hassan, Haritha",Vishal Manivannan,Govindh.N,29 March 2024,India,Tamil,,
Never Escape,Never Escape is a 2024 Indian Tamil-language survival thriller film written and directed by Dsri Aravind Deva Raj. The film stars Robert and Adhi Prithvi. The film was produced by Nansi Flora Selvadhas under the banner of Royal B Productions.[1],Dsri Aravind Deva Raj,Dsri Aravind Deva Raj,Nansi Flora Selvadhas,"Robert, Adhi Prithvi",Santhosh Kumar Sj,Guru Pradeep,19 April 2024,India,Tamil,,
Never Let Go,"Never Let Go is a 2024 American survival horror thriller film directed by Alexandre Aja and written by KC Coughlin and Ryan Grassby. The film stars Halle Berry as a mother living with her sons in an isolated cabin, aiming to protect them from malevolent forces.",Alexandre Aja,"KC Coughlin, Ryan Grassby","Shawn Levy, Dan Cohen, Thiago Andreo Barbosa Nogueira, Dan Levine, Alexandre Aja",Halle Berry,Maxime Alexandre,Elliot Greenberg,"September 16, 2024(Regal Times Square)",United States,English,,
Never Look Away,"Never Look Away is a 2024 New Zealand documentary film, directed by Lucy Lawless.[1] The film is a portrait of Margaret Moth, a New Zealand photojournalist who was a longtime war reporter for CNN.[2]",Lucy Lawless,"Whetham Allpress, Tom Blackwell, Lucy Lawless, Matthew Metcalfe","Tom Blackwell, Lucy Lawless, Matthew Metcalfe",Margaret Moth,"Jenna Boss, Darryl Ward",Whetham Allpress,30 September 2024(Sundance),New Zealand,English,,
A New Kind of Wilderness,"The documentary follows a Norwegian family, parents Maria and Nik Payne and their four children, living an isolated life on a sustainable farm. Tragedy strikes when Maria passes away. Nik is left to relocate himself and his children to a larger city, no longer able to afford life on the farm.[8]",Silje Evensmo Jacobsen,,"Mari Bakke Riise, Silje Evensmo Jacobsen","Maria Gros Vatne, Nik Payne, Ronja Bede Vatne, Freja Vatne Payne, Falk Vatne Payne, Ulv Vatne Payne","Silje Evensmo Jacobsen, Karine Fosser, Fred Arne Wergeland, Espen Gjermundrød, Line K. Lyngstadaas, Natalja Safronova","Kristian Tveit, Christoffer Heie",19 January 2024(Sundance),Norway,"Norwegian, English",,
The New Year That Never Came,"The New Year That Never Came (Romanian: Anul Nou care n-a fost) is a 2024 Romanian historical tragicomedy film written and directed by Bogdan Mureșanu in his feature directorial debut. Based on Mureșanu's 2018 short film, The Christmas Gift, it stars Adrian Văncică [ro], Nicoleta Hâncu, Iulian Postelnicu [ro], Mihai Călin [ro], Emilia Dobrin [ro], and Andrei Miercure. It premiered at the 81st Venice International Film Festival on 1 September 2024, where it won the Orizzonti Award for Best Film.[1] The film received a theatrical release in Romania on 24 September 2024.",Bogdan Mureșanu,,"Bogdan Mureșanu, Vanja Kovačević","Adrian Văncică, [, ro, ], Nicoleta Hâncu, Iulian Postelnicu, [, ro, ], Mihai Călin, [, ro, ], Emilia Dobrin, [, ro, ], Andrei Miercure","Boróka Biró, Tudor Platon","Vanja Kovačević, Mircea Lăcătuș",1 September 2024(Venice),Romania,Romanian,,
A Nice Indian Boy,A Nice Indian Boy is a 2024 American romantic comedy film directed by Roshan Sethi.,Roshan Sethi,,"Justin Baldoni, Charlie McSpadden, Renee Witt","Karan Soni, Jonathan Groff, Sunita Mani, Zarna Garg, Harish Patel",Amy Vincent,Stephanie Kaznocha,"March 12, 2024(South by Southwest)",United States,"English, Hindi",,
Nickel Boys,"Nickel Boys is a 2024 American historical drama film based on the 2019 novel The Nickel Boys by Colson Whitehead. It was directed by RaMell Ross, who wrote the screenplay with Joslyn Barnes. Starring Ethan Herisse, Brandon Wilson, Hamish Linklater, Fred Hechinger, Daveed Diggs, Jimmie Fails, and Aunjanue Ellis-Taylor, the story follows two African-American boys, Elwood (Herisse) and Turner (Wilson), who are sent to an abusive reform school in 1960s Florida. The film is inspired by the Dozier School for Boys, a now-closed Florida reform school notorious for its abusive treatment of students.",RaMell Ross,,"Dede Gardner, Jeremy Kleiner, David Levine, Joslyn Barnes","Ethan Herisse, Brandon Wilson, Hamish Linklater, Fred Hechinger, Daveed Diggs, Jimmie Fails, Aunjanue Ellis-Taylor",Jomo Fray,Nicholas Monsour,"August 30, 2024(Telluride)",United States,English,,
A Night at the Symphony: Hollywood Bowl,"The film was directed by Sam Wrench, produced by Veeps Studios, and distributed to cinemas by Trafalgar Releasing.[3][4] Laufey's sister, Junia Lin Jonsdottir, served as the film's creative director.[5]",Sam Wrench,,"Max Gredinger, Bianca Bhagat, Devin Dehaven, Kyle Heller, Michael Schneider, Jessica Roulston, Connor Malbeuf",Laufey,,,"December 6, 2024",United States,English,,
Night Call,"Night Call (French: La nuit se traîne) is a 2024 action thriller film[4] directed by Michiel Blanchart in his feature directorial debut, from a screenplay he co-wrote with Gilles Marchand.[5] Set over the course of a night amid a Black Lives Matter protest in Belgium, a young locksmith is called for nocturnal assignment that plunges him into danger. It stars Jonathan Feltre, Natacha Krief, Jonas Bloquet, Thomas Mustin, and Romain Duris. The film is an international co-production between Belgium and France.",Michiel Blanchart,,"Michaël Goldberg, Boris Van Gils","Jonathan Feltre, Natacha Krief, Jonas Bloquet, Thomas Mustin, Romain Duris",Sylvestre Vannoorenberghe,Matthieu Jamet-Louis,18 June 2024(Biarritz Film Festival),"Belgium, France","French, [, 2, ]",,
Night Curfew,Night Curfew is a 2024 Indian Kannada-language crime thriller film[1] directed by Ravindra Venshi and starring Malashri and Ranjani Raghavan. The film is set during the COVID-19 pandemic curfew and was released to mixed-to-positive reviews.,Ravindra Venshi,Ravindra Venshi,B S Chandrashekar,"Malashri, Ranjani Raghavan, Pramod Shetty, Sadhu Kokila",Pramod Bharathiya,C. Ravichandran,12 April 2024,India,Kannada,,
The Night Curse of Reatrei,"It is a Cambodia-Myanmar venture produced by LD Picture Production and Real Bros Production. Starring Tharoth Sam, princess Norodom Jenna and Paing Takhon[3] and distributed by Skyline Media, a leading Vietnamese studio.[4]","Leak Lyda, Diep Sela","Nuon Molin, Vuth Oudom",Leak Lyna,"Norodom Jenna, Paing Takhon, Shin Yubin, Tharoth Sam, Sahrah Pich Manika",Alex Dacev,"Ken Simpson, Diep Sela, Sam Oudom","March 14, 2024(Cambodia)","Cambodia, Myanmar",Khmer,,
Night Is Not Eternal,"Night Is Not Eternal is a 2024 documentary film directed and produced by Nanfu Wang. It follows Cuban activist Rosa María Payá Acevedo over the course of several years, exploring the universal struggle for freedom.",Nanfu Wang,"Nanfu Wang, Michael Shade","Nanfu Wang, Lori Cheatle",,Javier Labrador Deulofeu,Michael Shade,"October 20, 2024(Montclair)",United States,English,,
Night of the Zoopocalypse,"It premiered at the 57th Sitges Film Festival on October 7, 2024, then being released in France by Apollo Films on January 29, 2025, Belgium on February 19, 2025, and in the United States and Canada by Viva Kids and Elevation Pictures on March 7, 2025, while receiving positive reviews.[6]","Rodrigo Perez-Castro, Ricardo Curtis","James Kee, Steven Hoban","Steven Hoban, Mark Smith, Wes Lui, Joe Iacono, Yohann Comte, Pierre Mazars, Carole Baraton, Cloé Garbay, Bastien Sirodot","Gabbi Kosmidis, Scott Thompson, Paul Sun-Hyung Lee, David Harbour",,"Matt Ahrens, Gilad Carmel","October 6, 2024(57th Sitges Film Festival)","Canada, France, Belgium","English, French",,
Night Swim,"Night Swim is a 2024 American supernatural horror film written and directed by Bryce McGuire (in his feature directorial debut), and based on the 2014 short film of the same name by McGuire and Rod Blackhurst. Starring Wyatt Russell and Kerry Condon, it follows a suburban family who discover that their backyard swimming pool is haunted by a malevolent entity.",Bryce McGuire,,"Jason Blum, James Wan","Wyatt Russell, Kerry Condon",Charlie Sarroff,Jeff McEvoy,"January 5, 2024",United States,English,,
The Night They Came Home,"The Night They Came Home is a 2024 American Western thriller film, directed by Paul G. Volk and written by John A. Russo and James O'Brien. It stars Brian Austin Green, Robert Carradine, Charlie Townsend, Tim Abell, Kelsey Reinhardt, and Danny Trejo.",Paul G. Volk,"John A. Russo, James O'Brien","Ryan D. Adams, Patrick Durham, Larry Layfield, John A. Russo","Brian Austin Green, Robert Carradine, Charlie Townsend, Tim Abell, Kelsey Reinhardt, Danny Trejo",Morgan Schmidt,Ron Cabreros,"January 12, 2024",United States,English,,
Nightbitch,"Nightbitch is a 2024 American black comedy body horror film written and directed by Marielle Heller, based on the 2021 novel by Rachel Yoder.[2] The film stars Amy Adams, Scoot McNairy, Arleigh Snowden, Emmett Snowden, Zoë Chao, Mary Holland, Archana Rajan, and Jessica Harper.",Marielle Heller,,"Anne Carey, Thiago Andreo Barbosa Nogueira, Marielle Heller, Sue Naegle, Christina Oh, Amy Adams, Stacy O'Neil","Amy Adams, Scoot McNairy, Arleigh Snowden, Emmett Snowden, Zoë Chao, Mary Holland, Archana Rajan, Jessica Harper",Brandon Trost,Anne McCabe,"September 7, 2024(TIFF)",United States,English,,
Niki,"The film had its world premiere at the Un Certain Regard section of the 2024 Cannes Film Festival, on 23 May 2024.[2]",Céline Sallette,"Céline Sallette, Samuel Doux",,"Charlotte Le Bon, John Robinson, Damien Bonnard, Judith Chemla, Radu Mihăileanu",Victor Seguin,Clémence Diard,23 May 2024(Cannes),France,"French, English",,
Nina,Nina is a 2024 Spanish thriller drama film directed and written by Andrea Jaurrieta which stars Patricia López Arnaiz as the title character alongside Darío Grandinetti.,Andrea Jaurrieta,Andrea Jaurrieta,"Alex Lafuente, José Nolla, Ander Sagardoy, Ander Barinaga-Rementeria, Xabier Berzosa","Patricia López Arnaiz, Darío Grandinetti, Aina Picarolo, Iñigo Aranburu, Mar Sodupe, Ramon Agirre, Silvia de Pé",Juli Carné Martorell,Miguel Ángel Trudu,4 March 2024(Málaga),Spain,Spanish,,
Ninaivellam Neeyada,"Ninaivellam Neeyada (transl. All my thoughts are about you) is a 2024 Indian Tamil-language romantic drama film directed by Aadhiraajan and starring Prajin, Manisha Yadav and  Sinamika.[1][2] The film was released to mixed to negative reviews.",Aadhiraajan,,Royal Babu,"Prajin, Manisha Yadav, Sinamika",Raja Bhattacharjee,Ashish,23 February 2024,India,Tamil,,
"Ninan Auassat: We, the Children","The film premiered at the 2024 Vancouver International Film Festival,[3] where it won the award for Best Canadian Documentary.[4] It was also screened as the closing film of the 2024 Montreal International Documentary Festival,[5] where it was the winner of the Magnus Isacsson Award.[6]",Kim O'Bomsawin,Kim O'Bomsawin,"Mélanie Brière, Nathalie Cloutier, Colette Loumède",,Hugo Gendron,Alexandre Lachance,"October 4, 2024(VIFF)",Canada,"French, English, Innu-aimun, Atikamekw",,
Nindha,"Nindha (transl. Blame/Accusation) is a 2024 Indian Telugu-language thriller film written, directed and also produced by Rajesh Jagannadham[1] under the production house The Fervent Indie Productions[2] and this film features Varun Sandesh, Tanikella Bharani, Chatrapathi Sekhar. The film centers around a mysterious murder case happened in Kandrakota village, Andhra Pradesh.[3]",Rajesh Jagannadham,Rajesh Jagannadham,Rajesh Jagannadham,"Varun Sandesh, Tanikella Bharani, Chatrapathi Sekhar",Ramiz Naveeth A,Anil Kumar P,21 June 2024,India,Telugu,,
Ninnu Vilayadu,"Ninnu Vilayadu (transl. Enroll and play) is a 2024 Indian Tamil-language drama film directed by C. Soundarajan and starring Dinesh Kumar, Nandana Anand and Deepa Shankar.[1] The film was released on 3 May 2024 to negative reviews.",C. Soundararajan,C. Soundararajan,"M. Karthick, M. Sarathkumar, Keerthivaasan","Dinesh Kumar, Nandana Anand, Deepa Shankar",S. Pitchumani,Shankar Ki.,3 May 2024,India,Tamil,,
Nirangal Moondru,"Nirangal Moondru (transl. Three Shades) is a 2024 Indian Tamil-language hyperlink thriller film written and directed by Karthick Naren.[2] The film stars Atharvaa in the lead role alongside R. Sarathkumar and Rahman in important roles.[3] The film also features Ammu Abhirami, Dushyanth Jayaprakash, Murali Radhakrishnan, John Vijay, Santhana Bharathi, Chinni Jayanth and others in supporting roles.[4] The film is produced by K. Karunamoorthi under his Ayngaran International banner.[5] The technical crew consists of Tijo Tomy as the cinematographer, Sreejith Sarang as the editor and Jakes Bejoy as the music composer.[6]",Karthick Naren,Karthick Naren,K Karunamoorthi,"Atharvaa, R. Sarathkumar, Rahman, Ammu Abhirami",Tijo Tomy,Sreejith Sarang,22 November 2024,India,Tamil,,
Njan Kandatha Sare,"Njan Kandatha Sare (transl. Sir, I did see !) is a 2024 Indian Malayalam-language thriller film directed by Varun G Panicker, starring Indrajith Sukumaran in the lead role.[1] The film was released to mixed-to-negative reviews upon release.",Varun G Panicker,Arun Karimuttam,"Prakash Highline, Ameer Abdulazeez",Indrajith Sukumaran,Prasanth Krishna,MS Aiyappan Nair,22 November 2024,India,Malayalam,,
No Other Land,,"Basel Adra, Hamdan Ballal, Yuval Abraham, Rachel Szor","Basel Adra, Hamdan Ballal, Yuval Abraham, Rachel Szor","Fabien Greenberg, Bård Kjøge Rønning",,Rachel Szor,"Basel Adra, Hamdan Ballal, Yuval Abraham, Rachel Szor",16 February 2024(Berlinale),"Palestine, Norway","Arabic, Hebrew, English",,
No Pressure,No Pressure (Polish: Nic na siłę) is a 2024 Polish romantic comedy film directed by Bartosz Prokopowicz that was released on Netflix on 27 March 2024.,Bartosz Prokopowicz,"Karolina Frankowska, Katarzyna Golenia","Marta Klin, Ewa Latkowska","Anna Szymańczyk, [, pl, ], Anna Seniuk, Mateusz Janicki, [, pl, ], Artur Barciś, Angelika Cegielska as Matylda Wasyl, Filip Gurłacz, [, pl, ], Cezary Żak, Magdalena Smalara, [, pl, ], Paulina Holtz, [, pl, ]",Jeremi Prokopowicz,Marcin Kot Bastkowski,27 March 2024,Poland,Polish,,
No Sleep Till,"It had its world premiere at the 81st Venice International Film Festival on September 2, 2024, in the International Critics Week section, where it got Special Mention from jury.[2]",Alexandra Simpson,Alexandra Simpson,"Tyler Taormina, Elijah Graf Quartier, Jason Simpson","Jordan Coley, Xavier Brown Sanders, Brynne Hofbauer, Taylor Benton",Sylvain Marco Froidevaux,Alexandra Simpson,"September 2, 2024(Venice)","United States, Switzerland",English,,
No Time to Spy,"No Time to Spy: A Loud House Movie (titled onscreen as simply No Time to Spy) is a 2024 American animated spy comedy film based on the television series The Loud House. The film was directed by series veteran Kyle Marshall and stars the show's regular voice cast alongside the voices of Amy Sedaris, Paul Wight, Sarah Niles, and Dan Fogler. The story follows the Loud family as they go to a tropical wedding celebration and get entangled in a super spy plot. It is the third animated film in The Loud House franchise following The Loud House Movie (2021) and The Casagrandes Movie (2024), and the fifth overall.",,,,,,,,,,,
No Way Up,"No Way Up is a 2024 survival thriller film directed by Claudio Fäh and written by Andy Mayson. It stars Sophie McIntosh, Will Attenborough, Jeremias Amoore, Manuel Pacific, Grace Nettle, Phyllis Logan and Colm Meaney.",Claudio Fäh,Andy Mason,"Andy Mason, Annalise Davis","Sophie McIntosh, Will Attenborough, Jeremias Amoore, Manuel Pacific, Grace Nettle, Phyllis Logan, Colm Meaney",Andrew Rodger,Adam Recht,"January 18, 2024(Russia)","United Kingdom, United States",English,,
Noah's Ark,"The film was first released in South Africa on January 5, 2024, and in Brazil on November 7, 2024.","Sérgio Machado, Alos di Leo",Sérgio Machado,"Walter Salles, Fabiano Gullane, Caio Gullane, O. Naresh Kumar","Rodrigo Santoro, Marcelo Adnet, Alice Braga",Márcio Nicolosi,Marcelo Junqueira,"January 5, 2024(South Africa)","Brazil, India","English, Portuguese",,
Nobody Wants to Talk About Jacob Appelbaum,"The film was presented in private industry screenings at film festivals in the U.S. and Canada in 2023,[2] before being broadcast by Documentary in March 2024. It was also subsequently screened at the 2024 San Francisco Jewish Film Festival,[3] and was added to the CBC Gem streaming platform in June.[4]",Jamie Kastner,,"Jamie Kastner, Laura Baron Kastner",Jacob Appelbaum,,Michael Hannan,"March 10, 2024",Canada,English,,
Nokturno,"Nokturno is a 2024 Philippine folk horror film directed by Mikhail Red and written by Rae Red. It stars Nadine Lustre.[1][2] The film released on October 31, 2024 on Amazon Prime Video.",Mikhail Red,"Rae Red, Nikolas Red",Mikhail Red,Nadine Lustre,,Nikolas Red,"October 31, 2024",Philippines,Filipino,,
Non Negotiable,"Non Negotiable (Spanish: No Negociable) is a 2024 Mexican action comedy thriller film directed by Juan Taratuto.[2] The film stars Mauricio Ochmann, Leonardo Ortizgris and Tato Alexander.[3] It was released on Netflix on 26 July 2024.[4]",Juan Taratuto,"Julieta Steinberg, Joe Rendón, Daniel Cuparo, Marcelo Birmajer","Felicitas Arce, Alejandra Cárdenas, Alejandro De Grazia, Cristian Sessa","Mauricio Ochmann, Leonardo Ortizgris, Tato Alexander",Alejandro Martínez,Pablo Barbieri Carrera,26 July 2024,Mexico,Spanish,,
Norberta,"Norberta is a 2024 Spanish comedy film directed by Sonia Escolano and Belén López Albert, which stars Luis Bermejo as the title character and Adriana Ozores alongside Mariona Terés and María Romanillos.","Sonia Escolano, Belén López Albert",,Eva Taboada,"Luis Bermejo, Adriana Ozores, Mariona Terés, María Romanillos",David Valldepérez,Liana Artigal,25 July 2024,Spain,Spanish,,
Nosferatu,"Nosferatu is a 2024 American Gothic horror film written and directed by Robert Eggers. It is a remake of the film Nosferatu: A Symphony of Horror (1922), which was in turn inspired by Bram Stoker's novel Dracula (1897). It stars Bill Skarsgård, Nicholas Hoult, Lily-Rose Depp, Aaron Taylor-Johnson, Emma Corrin, and Willem Dafoe.",Robert Eggers,,"Jeff Robinov, John Graham, Chris Columbus, Eleanor Columbus, Robert Eggers","Bill Skarsgård, Nicholas Hoult, Lily-Rose Depp, Aaron Taylor-Johnson, Emma Corrin, Willem Dafoe",Jarin Blaschke,Louise Ford,"December 2, 2024(Berlin)",United States,English,,
Nosso Lar 2: Os Mensageiros,"The sequel to the 2010 movie Astral City: A Spiritual Journey, Nosso Lar 2: Os Mensageiros tells the story of a group of workers from Nosso Lar, better known as ""The Messengers"", who comes to Earth on a rescue mission to assist people who are about to fail in their lives, forgetting the planning they made, and heading their destinies towards great suffering.",Wagner de Assis,Wagner de Assis,Iafa Britz,"Renato Prieto, Edson Celulari, Mouhamed Harfouch, Vanessa Gerbelli, Fernanda Rodrigues, Fábio Lago, Felipe de Carolis, Othon Bastos",,,"January 25, 2024",Brazil,Portuguese,,
