title,description,directed_by,produced_by,starring,country,language,release_date
Mission Kipi,"During the pandemic, rural teacher Walter Velásquez, dedicated to science and technology for years, creates a robot from computer scrap and baptizes it with the name Kipi. Most of Walter's students left school due to COVID-19 pandemic and returned to their communities. Without connectivity or access due to dispersed population centers, Kipi becomes the teacher's assistant and accompanies the educational pilgrimage of its creator, bringing learning to homes and communities.[4]",Sonaly Tuesta,"Sonaly Tuesta, Javier Anaya, Martina Sottile",No data,Peru,Spanish,21-03-2024
Mission: Chapter 1,"Mission: Chapter 1 (also marketed as Mission: Chapter 1 – Achcham Enbadhu Illaiye; transl. There is no fear) is a 2024 Indian Tamil-language action thriller film directed by A. L. Vijay, written by A. Mahadev and produced by Lyca Productions, Shri Shirdi Sai Movies, New March Fast Pictures and Aspen Film Productions (P) Ltd. The film stars Arun Vijay, Amy Jackson and Nimisha Sajayan alongside Abi Hassan, Bharat Bopana and Iyal in the supporting roles. This marks Jackson's comeback Tamil film after a five-year hiatus.",A. L. Vijay,"Subaskaran Allirajah, M. Rajashekar, S. Swathi, Surya Vamsi Prasad Kotha, Jeevan Kotha","Arun Vijay, Amy Jackson, Nimisha Sajayan",India,Tamil,12-01-2024
Mission: Cross,"Mission: Cross (Korean: 크로스) is a 2024 South Korean spy action comedy film directed and written by Lee Myeong-hun, and starring Hwang Jung-min, Yum Jung-ah, and Jeon Hye-jin. It follows the adventures of a former agent turned househusband, Park Kang-moo, who becomes entangled in a dangerous mission alongside his detective wife Kang Mi-seon, who remains unaware of his past. The film was released on Netflix on 9 August 2024.",Lee Myeong-hun,"Han Jae-deok, Cha Jin-kyung, Hong Jung-in, Kim Hyung-seok","Hwang Jung-min, Yum Jung-ah, Jeon Hye-jin",South Korean,Korean,09-08-2024
A Mistake,"A Mistake is a 2024 New Zealand medical-drama film, written, directed, and produced by Christine Jeffs, based upon the novel of the same name by Carl Shuker. It stars Elizabeth Banks, Simon McBurney, Mickey Sumner, Rena Owen, Richard Crouchley, and Matthew Sunderland.",Christine Jeffs,"Christine Jeffs, Matthew Metcalfe","Elizabeth Banks, Simon McBurney, Mickey Sumner, Rena Owen, Richard Crouchley, Matthew Sunderland",New Zealand,English,07-06-2024
Mr. & Mrs. Mahi,"Mr. & Mrs. Mahi is a 2024 Hindi-language romantic sports drama film directed by Sharan Sharma and produced by Zee Studios and Dharma Productions. It stars Rajkummar Rao and Janhvi Kapoor.  The film is centered around cricket and both lead actors share the same nickname as the famous Indian cricketer, Mahendra Singh Dhoni.[6][7] The film was released on 31 May 2024 to mixed reviews from critics, who praised the performances and chemistry of the leads and the film's novel concept but criticised the screenplay and plot.[5][8]",Sharan Sharma,"Karan Johar, Zee Studios, Hiroo Yash Johar, Apoorva Mehta","Rajkumar Rao, Janhvi Kapoor",India,Hindi,No date
Mr. and Mrs. Stodola,"Jaroslav Stodola and Dana Stodolová are a young couple living in a peaceful village where all the residents know each other well. With a vision of easily obtained money, they decide to rob their lonely old neighbor but Jaroslav kills him in the process. To their surprise, the police almost automatically accept the pensioner's violent death as an accident and take no further interest in the case. They realize that elderly are easy victims not only for petty theft, but also for murder. Dana quickly grows fond of the power over victims and the strange adventurous feeling of winning over the police but Jaroslav finds himself at a crossroads where he has a chance to leave Dana, but fails and must face the consequences of their crimes. Brutal murders were closely related to their relationship, a picture of dependence and mutual manipulation, from which neither could emerge victorious.",Petr Hátle,No data,"Jan Hájek, Lucie Žáčková","Czech Republic, Slovakia",Czech,29-02-2024
Mr. Bachchan,"Mr. Bachchan[5] is a 2024 Indian Telugu-language  action thriller film[6] directed by Harish Shankar and jointly produced by T. G. Vishwa Prasad, Vivek Kuchibotla, Bhushan Kumar, Krishan Kumar, Abhishek Pathak, and Kumar Mangat Pathak under People Media Factory, T-Series Films, and Panorama Studios. It stars Ravi Teja as the titular character, alongside Jagapathi Babu and Bhagyashri Borse (in her Telugu debut).",Harish Shankar,"T. G. Vishwa Prasad, Vivek Kuchibotla, Bhushan Kumar, Krishan Kumar, Abhishek Pathak, Kumar Mangat Pathak","Ravi Teja, Jagapathi Babu, Bhagyashri Borse",No data,Telugu,15-08-2024
Mr. Celebrity,"Mr. Celebrity is a 2024 Indian Telugu-language action thriller film written and directed by Chandina Ravi Kishore.[1] The film features Varalaxmi Sarathkumar, Paruchuri Sudarshan and Sri Deeksha in lead roles.[2]",Chandina Ravi Kishore,"N. Pandurangarao, Chinna Reddaiah","Varalaxmi Sarathkumar, Paruchuri Sudarshan, Sri Deeksha",India,Telugu,04-10-2024
Mr. Crocket,"Mr. Crocket is a 2024 American supernatural horror film directed by Brandon Espy in his feature directorial debut from a screenplay he co-wrote with Carl Reid. Based on Espy's 2022 short film of the same name, the film stars Elvis Nolasco as the title character, with Jerrika Hinton, Ayden Gavin, Kristolyn Lloyd, and Alex Akpobome in supporting roles. It follows a mother who embarks on a quest to rescue her son from a demonic children's television series host who is kidnapping children.[1]",Brandon Espy,"David Brooks, Jenna Cavelle, Josh Feldman, Jesse Ford, Sean King O'Grady, Arbi Pedrossian, Carl Reid","Elvis Nolasco, Jerrika Hinton, Ayden Gavin, Kristolyn Lloyd, Alex Alomar Akpobome",United States,English,11-10-2024
Mr. K,"Mr. K, a traveling magician, finds himself in a Kafkaesque nightmare when he can’t find the exit of the hotel he has slept in. His attempts to get out only pull him deeper, entangling him further with the hotel and its curious inhabitants.[1]",Tallulah H. Schwab,"Erik Glijnis, Ineke Kanters, Leontine Petit, Dries Phlypo, Judy Tossell, Jan van der Zanden","Crispin Glover, Sunnyi Melles, Fionnula Flanagan, Bjørn Sundquist, Dearbhla Molloy, Barbara Sarafian, Sam Louwyck","Netherlands, Belgium, Norway",English,06-09-2024
Mistress Dispeller,"It had its world premiere at the 81st Venice International Film Festival on September 2, 2024, in the Orizzonti section.",Elizabeth Lo,"Elizabeth Lo, Emma D. Miller, Maggie Li",No data,"United States, China","English, Mandarin",02-09-2024
Mix Up,"Mix Up is a 2024 Indian Telugu-language Erotic drama film directed by Aakash Bikki and written by Hyma Varshini. Produced by Sprint Films, the film stars Kamal Kamaraju and Akshara Gowda.[1] The film premiered on 15 March 2024 on Aha.[2]",Aakash Bikki,Thirumal Reddy Amireddy,"Kamal Kamaraju, Akshara Gowda",India,Telugu,15-03-2024
Moana 2,"Moana 2[b] is a 2024 American animated musical adventure film produced by Walt Disney Animation Studios. The second film in the Moana franchise, it was directed by David Derrick Jr., Jason Hand, and Dana Ledoux Miller from a screenplay by Miller and executive producer Jared Bush. Auliʻi Cravalho and Dwayne Johnson reprise their roles from the first film. Set three years later, it follows Moana reuniting with the demigod Maui and assembling a wayfinding crew to find the lost island of Motufetu, break its curse, and reconnect the people of the ocean.","David Derrick Jr., [, 1, ], Jason Hand, [, 1, ], Dana Ledoux Miller, [, 1, ]","Christina Chen, [, 1, ], Yvett Merino, [, 1, ]","Auliʻi Cravalho, Dwayne Johnson",United States,English,21-11-2024
Mobile Suit Gundam SEED Freedom,"The film had been in development since 2006, but production was postponed due to main writer Chiaki Morosawa's health condition. A few years after Morosawa's death in 2016, the film's production started, and it was released on January 26, 2024. Director Mitsuo Fukuda expressed hardships in animating the mobile suits and battle ships due to the usage of CGI and the large amount of mechas the cast uses. In regards to the characters, Fukuda had several ideas in regards to expand Kira's story alongside the supporting characters Shinn Asuka and Athrun Zala with the first being the least prominent in Destiny and the ending of the Destiny storyline gave new sides of each character to be explored. Besides English screenings, the film also made it to Western regions through Netflix. An expanded version titled Special Edition was also released.",Mitsuo Fukuda,No data,"Sōichirō Hoshi, Rie Tanaka, Akira Ishida, Nanako Mori, Kenichi Suzumura, Maaya Sakamoto",Japan,Japanese,26-01-2024
Modern Masters: S. S. Rajamouli,"Modern Masters: S. S. Rajamouli is a 2024 Indian English-language documentary film directed by Raghav Khanna and Tanvi Ajinkya.[2] The film revolves around filmmaker S. S. Rajamouli and events related to his film career and also how he created the genre of pan-india film.[3] Produced by Applause Entertainment and Film Companion Studios, it was premiered on Netflix on 2 August 2024.[4]",No data,No data,No data,No data,No data,No date
"Modì, Three Days on the Wing of Madness","Modì, Three Days on the Wing of Madness (Italian: Modì – Tre giorni sulle ali della follia) is a 2024 biographical drama film based on the life of Italian artist Amedeo Modigliani. It is directed by Johnny Depp from a screenplay by Jerzy and Mary Kromolowski, which is based on the play Modigliani by Dennis McIntyre.",Johnny Depp,"Johnny Depp, Al Pacino, Barry Navidi, Andrea Iervolino, Monika Bacardi","Riccardo Scamarcio, Stephen Graham, Al Pacino, Antonia Desplat","United Kingdom, Hungary, Italy","English, Italian",24-09-2024
The Mohican,"Joseph is one of the last coastal shepherds in Corsica. His land is coveted by the underworld for a real estate project but he chooses not to give in. When he leaves the man who came to intimidate him, the godfather's own son, between life and death, he becomes the prey of a merciless hunt.",Frédéric Farrucci,"Diane Jassem, Céline Chapdaniel","Alexis Manenti, Mara Taquin",No data,French,01-09-2024
Money Electric: The Bitcoin Mystery,"Money Electric: The Bitcoin Mystery is a 2024 documentary film, directed and produced by Cullen Hoback. It explores the origins of the cryptocurrency Bitcoin and the identity of its pseudonymous creator Satoshi Nakamoto.",Cullen Hoback,"Cullen Hoback, Alina Solodnikova, Jessie Deeter, Scott Holroyd",No data,United States,English,08-10-2024
Money No Enough 3,"Money No Enough 3 (Chinese: 钱不够用3: 全部够用) is a 2024 Singaporean Chinese New Year comedy film written and directed by Jack Neo. It is the standalone sequel to 1998's Money No Enough and 2008's Money No Enough 2, with Neo, Mark Lee and Henry Thia portraying as three young seniors who have been lifelong kampong friends and brothers as each of them faces their own family and financial problems. In their attempt to join forces and support each other, their grand plan falls apart when the younger generation challenges the beliefs and value systems of the trio. This resulted in their respective families facing multiple money problems and having impacts on each other and their families. It marks the third on-screen reunion of Jack Neo, Mark Lee and Henry Thia after their previous collaborations in Money No Enough, That One No Enough, Money No Enough 2, Where Got Ghost? and The King of Musang King. Secondly, it also marks another on-screen reunion of Jack Neo, Mark Lee, Henry Thia, Xiang Yun and Patricia Mok after their previous collaboration in the educational film known as I Not Stupid. Thirdly, it also marks another on-screen reunion of Jack Neo, Henry Thia and Xiang Yun in the sequel of the educational film known as I Not Stupid Too. Next, it also marks another on-screen reunion of Xiang Yun and Ivan Lo Kai Jun after their previous collaboration in We Not Naughty. Moreover, it also marks another on-screen reunion of Mark Lee, Henry Thia and Regina Lim after their previous collaboration in The Diam Diam Era. Furthermore, it also marks another on-screen reunion of Mark Lee, Henry Thia, Regina Lim and Ryan Lian after their previous collaboration in The Diam Diam Era Two. At the same time, it also marks another on-screen reunion of Henry Thia, Kanny Theng, Maxi Lim and Ryan Lian after their previous collaboration in Take 2.",Jack Neo,"Jack Neo, Boi Kwong","Mark Lee, Henry Thia, Jack Neo, Xiang Yun, Patricia Mok, Tang Miaoling, Regina Lim, Braven Yeo, Denise Fong, Kelly Wong, Ivan Lo Kai Jun",Singapore,"Mandarin, Hokkien, English",01-02-2024
Mongrel,"Mongrel (Chinese: 白衣蒼狗) is a 2024 drama film directed and written by Chiang Wei-liang, with co-direction by Yin You-qiao. Starring Wanlop Rungkumjad, Kuo Shu-wei, Daniel Hong, Lu Yi-ching, and Atchara Suwan, the film explores themes related to migrant caregivers in Taiwan, focusing on one caregiver (Rungkumjad) who develops a bond with his new patient (Kuo).","Chiang Wei-liang, Yin You-qiao","Lai Wei-jie, Lynn Chen, Chu Yun-ting, Marie Dubas, Elizabeth Wijaya","Wanlop Rungkumjad, Kuo Shu-wei, Daniel Hong, Lu Yi-ching, Atchara Suwan","Taiwan, Singapore, France","Mandarin, Thai",20-05-2024
Mongrels,"The cast also includes Candyce Weir, Morgan Derera, Jedd Sharp, Sangbum Kang, Cassidy Karin, James Corwin Bryant, Katelyn Vanier, Joliana Francisco, Alan Ramon Ward, Megs Calleja, Duke Murrdodge, Chris Byron, Vivian Davidson-Castro, Ryan Haneman, Karen Hyeyeon Choi, Natasha Bruce and Charlotte Ray in supporting roles.",Jerome Yoo,"Nach Dudsdeemaytha, Tesh Guttikonda","Jae-Hyun Kim, Da-Nu Nam, Sein Jin",Canada,"English, Korean",28-09-2024
Monica's News,"The cast also includes Kevin Kincaid, Allegra Fulton, James Gilbert, Jessica Gallant, Vox Smith, Hank White, Emma Vickers, Allister MacDonald, David Mortimer, Stacy Smith, Morgan Melnyk, Isaac Leblanc, Maria Young, Wiljo Martin, Mark A. Owen, Lesley Smith and Cooper Watson in supporting roles.",Pamela Gallant,Terry Greenlaw,Polly Gallant-Maclean,Canada,English,13-09-2024
Monkey Man,"Monkey Man is a 2024 action thriller film directed and produced by Dev Patel in his directorial debut, who also co-wrote the screenplay with Paul Angunawela and John Collee. The film stars Patel as Kid, a man who seeks vengeance on the corrupt leaders responsible for his mother's death. Sharlto Copley, Pitobash, and Vipin Sharma are featured in supporting roles.",Dev Patel,"Dev Patel, Jomon Thomas, Jordan Peele, Win Rosenfeld, Ian Cooper, Basil Iwanyk, Erica Lee, Christine Haebler, Sam Sahini, Anjay Nagpal","Dev Patel, Sharlto Copley, Pitobash, Vipin Sharma","Canada, United States","English, Hindi",11-03-2024
Mononoke the Movie: Phantom in the Rain,"Mononoke the Movie: Phantom in the Rain[2][a] is a 2024 Japanese animated supernatural psychological horror film written and directed by Kenji Nakamura with Kōji Yamamoto as a co-writer; the film is based on the Mononoke anime television series (2007), which in turn is a spin-off of Ayakashi: Samurai Horror Tales anthology series (2006), both created by Toei Animation. Produced by EOTA and co-distributed by Giggly Box and Twin Engine, Phantom in the Rain is the first part of the Mononoke trilogy film project.[3] The film stars Hiroshi Kamiya as the voice of the Medicine Seller, alongside Tomoyo Kurosawa, Aoi Yūki, Mami Koyama, Kana Hanazawa, Haruka Tomatsu, Yoko Hikasa, Yūko Kaida, Yukana, Yuki Kaji, Jun Fukuyama, Daisuke Hosomi, Miyu Irino and Kenjiro Tsuda. Phantom in the Rain was released in Japan on July 26, 2024.[4]",Kenji Nakamura,"Kōshō Satō, Yūki Sudō","Hiroshi Kamiya, Tomoyo Kurosawa, Aoi Yūki, Mami Koyama, Kana Hanazawa, Haruka Tomatsu, Yoko Hikasa, Yūko Kaida, Yukana, Yuki Kaji, Jun Fukuyama, Daisuke Hosomi, Miyu Irino, Kenjiro Tsuda",Japan,Japanese,26-07-2024
Monsieur Aznavour,"Monsieur Aznavour is a 2024 musical biographical drama film written and directed by Mehdi Idir and Grand Corps Malade. It is about the life of French singer Charles Aznavour, portrayed by Tahar Rahim, from his beginning as the son of Armenian immigrants to the rise of his career as a singer and actor which cemented his status as a beloved figure in France. The film was produced by Jean-Rachid Kallouche, who is married to Aznavour's daughter Katia.[3][4][5][6] It is an international co-production between France and Belgium.[7] It was theatrically released in France by Pathé on 23 October 2024.[8]","Mehdi Idir, Grand Corps Malade","Jean-Rachid Kallouche, Arnaud Chautard, Éric Altmayer, Nicolas Altmayer","Tahar Rahim, Bastien Bouillon, Marie-Julie Baup","France, Belgium",French,23-10-2024
The Monster of Many Noses,The Monster of Many Noses (Catalan: L'home dels nassos)[1] is a 2024 fantasy adventure drama film directed by Abigail Schaaff (in her directorial debut feature) from a screenplay by Èric G. Moral and Núria Velasco.,Abigail Schaaff,"Núria Velasco, Lina Badenes, Ana Camacho","Pablo Derqui, Ivan Benet, Sali Diallo, Miranda Munné, Lluc Miravete","Spain, France",Catalan,19-01-2024
Monster Summer,"Monster Summer is a 2024 American adventure horror film[1][2] directed by David Henrie, written by Cornelius Uliano and Bryan Schulz, and starring Mason Thames, Lorraine Bracco and Mel Gibson.",David Henrie,"Mark Fasano, James Henrie, John Blanford, Dan McDonough","Mason Thames, Julian Lerner, Abby James Witherspoon, Noah Cottrell, Nora Zehetner, Patrick Renna, Lorraine Bracco, Mel Gibson",United States,English,24-09-2024
Montages of a Modern Motherhood,"In 2019, Oliver Chan began developing the screenplay after releasing her debut feature Still Human (2018), and she started pitching the film in project markets under the working title Her Lullaby that same year. The writing process spanned approximately three years during the COVID-19 pandemic, while pre-production took less than a year, with principal photography commencing in November 2023 primarily in Yuen Long.",Oliver Chan,"Oliver Chan, Lung Kwok-yiu","Hedwig Tam, Siuyea Lo, Janis Pang, Patra Au, Alice Fung",Hong Kong,Cantonese,07-10-2024
The Moogai,"The Moogai is a 2024 Australian horror film written and directed by Jon Bell, based on his 2020 short film of the same name. The film stars Shari Sebbens, Meyne Wyatt, Tessa Rose, Clarence Ryan, Toby Leonard Moore and Bella Heathcote.",Jon Bell,"Kristina Ceyton, Samantha Jennings, Mitchell Stanley","Shari Sebbens, Meyne Wyatt, Tessa Rose, Clarence Ryan, Toby Leonard Moore, Bella Heathcote",Australia,No data,21-01-2024
The Moon Thieves,"The Moon Thieves (Chinese: 盜月者) is a 2024 Hong Kong heist film directed by Steve Yuen. Starring Anson Lo, Edan Lui, Louis Cheung, Michael Ning and Keung To, the film is loosely based on the 2009 Ginza Tenshodo heist and the 2010 Hong Kong post office robbery. It revolves around a heist mission in Japan,featuring two inexperienced recruits, a counterfeiter (Lui) and a locksmith (Lo), who join a reluctant crew (Cheung and Ning).",Steve Yuen,"Jason Siu, Ray Pang","Anson Lo, Edan Lui, Louis Cheung, Michael Ning, Keung To",Hong Kong,Cantonese,09-02-2024
Moonzy: Homecoming,"An old moth scientist finds an piece of moonshell falling from the moon and landing into a pond, and goes out to discover it. Moonzy, a lunar bee, emerges from the shell.",Konstantin Bronzit,"Aleksandr Boyarsky, Sergey Selyanov, Anton Zlatopolskiy","Anna Slynko, Yuliya Zorkina, Oleg Kulikovich, Anatoly Petrov, Mariya Tsvetkova, Valerii Smekalov",Russia,Russian,29-08-2024
The Moor,"In 1996, Claire, a girl living in a Yorkshire town, convinces her friend Danny to distract a shopkeeper while she steals sweets from his shop. She succeeds and leaves the shop, but is later unable to find Danny. It is revealed that Danny was kidnapped and murdered by a serial killer who targeted children and buried the corpses of his victims in a nearby moor. The killer was sentenced to 25 years in prison, but the victims' bodies were never recovered.",Chris Cronin,"Chris Cronin, Paweł Pracz, Paul Thomas","Sophia La Porta, David Edward-Robertson, Elizabeth Dormer-Phillips, Vicki Hackett, Bernard Hill",United Kingdom,English,14-06-2024
Moorane Krishnappa,"Moorane Krishnappa (transl. Third Krishnappa) is a 2024 Indian Kannada-language comedy drama film written and directed by Naveen Narayanaghatta.[1] The film is produced by Naveen Reddy G under Red Dragon Films banner. The film stars Rangayana Raghu and Sampath Maitreya[2][3] in lead roles while Sripriya,[4][5] Ugramm Manju, Tukali Santosh play supporting characters. The film has cinematography by Yogi, editing by Shrikanth Gowda and music by Anand Rajavikram and Suprith Sharma S.",Naveen Narayanghatta,"Mohan Reddy G, Ravishankar","Rangayana Raghu, Sampath Maitreya, Sripriya, Ugramm Manju, Tukali Santosh, Arohi Narayan",No data,Kannada,24-05-2024
Mor Chhainha Bhuinya 2,"Mor Chhainha Bhuinya 2 (My Cherished Land 2) is a 2024 Indian Chhattisgarhi-language film directed by Satish Jain and is a remake or spiritual sequel of the cult film Mor Chhainha Bhuinya (2000). After 23 years writer and director Satish Jain who had also directed the original movie, decided to make a sequel, Mor Chhainha Bhuinya 2. He returned as writer and director of the new film that was released on 24 May 2024. The lead characters in the new film play the same role as the original but the new film's setting is different.[1]",Satish Jain,"Lalit Sinha, Shailendra Sinha, Saurabh Agarwal, Satish Jain","Mann Qureshi, Elsa Ghosh, Diksha Jaiswal, Deepak Sahu",India,Chhattisgarhi,24-05-2024
Morningside,"Morningside is a Canadian drama film, directed by Ron Dias and released in 2024.[1]",Ron Dias,"Joanne Jansen, Ron Dias, Craig Fleming","Fefe Dobson, Oluniké Adeliyi, Alex Mallari Jr., Lovell Adams-Gray, Kiana Madeira, Joanne Jansen, Brandon McKnight",Canada,"English,, Patois",19-09-2024
Most People Die on Sundays,The film is based in part on Said's own experiences after the death of his father. The cast also includes Juliana Gattas as David's sister.,Iair Said,Nicolás Avruj,"Iair Said, Rita Cortese, Antonia Zegers","Argentina, Italy, Spain",Spanish,20-05-2024
The Most Precious of Cargoes,"The Most Precious of Cargoes (French: La Plus Précieuse des marchandises) is a 2024 animated drama film, directed by Michel Hazanavicius and with a screenplay by Jean-Claude Grumberg and Hazanavicius.[2] The film is an adaptation of Grumberg's 2019 novel of the same name.",Michel Hazanavicius,"Patrick Sobelman, Florence Gastaud, Michel Hazanavicius","Dominique Blanc, Grégory Gadebois, Denis Podalydès","France, Belgium",French,24-05-2024
The Most Wonderful Time of the Year,"The Most Wonderful Time of the Year is an animated short film based on the television series The Simpsons.[1] The short was released on October 11, 2024, on Disney+.[2][3] The main character is Sideshow Bob,[4][5] and the main theme of the film is the connection between Christmas and Halloween.[6] It is the ninth Simpsons Disney+ short film.[7]",David Silverman,No data,No data,United States,No data,11-10-2024
Motel Destino,"Motel Destino is a 2024 erotic thriller film directed and co-written by Karim Aïnouz. It stars Iago Xavier, Nataly Rocha and Fábio Assunção in the lead roles.[2]",Karim Aïnouz,"Hélène Théodoly, Gabrielle Tana, Michael Weber, Viola Fügen, Didar Domehri, André Novis, Caio Gullane, Fabiano Gullane, Janaina Bernardes","Iago Xavier, Nataly Rocha, Fábio Assunção","Brazil, France, Germany",Portuguese,22-05-2024
The Mother and the Bear,"Sara, a woman from South Korea, travels to Canada after her daughter Sumi, who had emigrated to Winnipeg some years earlier, is injured in a fall that leaves her comatose. Upon arrival, Sara discovers how little she truly knew about her daughter's life.[3]",Johnny Ma,"Juan de Dios Larraín, Niv Fichman",Kim Ho-jung,"Canada, Chile","English, Korean",06-09-2024
A Mother Apart,"According to Chin, she had been approached several times in the past to film her story, including by at least one unnamed filmmaker whom she was thankful that she had declined to work with because he had since been subjected to sexual harassment claims, but noted that she agreed to work with Townshend because Townshend was fully honest about being a first-time filmmaker without access to a lot of money, rather than ""blowing smoke up her ass"" about Hollywood connections or Netflix deals.[2]",Laurie Townshend,"Alison Duke, Ngardy Conteh George, Justine Pimlott",Staceyann Chin,Canada,English,26-04-2024
Mother Father Sister Brother Frank,"The film stars Enrico Colantoni as father Jerry, Mindy Cohn as mother Joy, Melanie Leishman as sister Jolene, Iain Stewart as brother Jim and Juan Chioran as Frank.[2] Sharron Matthews also appears in the film as nosy neighbour Ronda, with Izad Etemadi, Chad Connell and Matthew G. Brown in supporting roles.",Caden Douglas,"Michael Lomenda, Matt Schichter","Enrico Colantoni, Mindy Cohn, Melanie Leishman, Iain Stewart, Juan Chioran",Canada,English,06-04-2024
Mother Mother,"On a lonely farm in rural Somalia, the widowed Qalifo (Maan Youssouf Ahmed) and her college-age son Asad (Elmi Rashid Elmi) raise camels. Asad lives in the shadow of his late father's violent reputation and bristles at Qalifo's strict parenting, escaping to a nearby village whenever he can. And when Asad learns his girlfriend has been seeing another boy, the American visitor Liban (Hassan Najib), a confrontation is inevitable.",K'naan Warsame,"Alex Kurtzman, Jenny Lumet, Andrea Calderwood","Maan Youssouf Ahmed, Elmi Rashid Elmi, Hassan Najib, Ubah Egal","Canada, Kenya, Somalia, United Kingdom, United States","Somali, English",06-09-2024
Mother of the Bride,"Mother of the Bride is a 2024 American romantic comedy film directed by Mark Waters and written by Robin Bernheim. It stars Brooke Shields, Miranda Cosgrove, Sean Teale, Chad Michael Murray, Rachael Harris, and Benjamin Bratt.",Mark Waters,Brad Krevoy,"Brooke Shields, Miranda Cosgrove, Sean Teale, Chad Michael Murray, Rachael Harris, Benjamin Bratt",United States,English,09-05-2024
Mother's Child,"Mother's Child is a 2024 Dutch short animated film co-written and directed by Naomi Noir. The film  follows a loving mother and full-time carer Mary, for whom every day is a battle as the caregiver and simultaneously to understand her disabled, non-verbal son Murphy’s needs.[1]",Naomi Noir,Naomi Noir,"Maya Devincenzi Dil, Grace Kimasi, Phaedra Fidessa",Netherlands,English,21-09-2024
Mothers' Instinct,"Mothers' Instinct is a 2024 American psychological thriller film directed by Benoît Delhomme in his directorial debut, and starring Jessica Chastain, Anne Hathaway, Anders Danielsen Lie, and Josh Charles. It is a remake of Olivier Masset-Depasse's 2018 French-language film, which itself was an adaptation of the 2012 novel Mothers' Instinct (French: Derrière la haine) by Barbara Abel [fr].",Benoît Delhomme,"Kelly Carmichael, Jessica Chastain, Anne Hathaway, Paul Nelson, Jacques-Henri Bronckart","Jessica Chastain, Anne Hathaway, Josh Charles, Anders Danielsen Lie",United States,English,08-03-2024
The Mountain,"The Mountain is a 2024 New Zealand coming-of-age comedy-drama film directed by Rachel House, based on a screenplay by House and Tom Furniss. The film is about a young girl named Sam seeking to reconnect with her Māori culture with the help of her friends Mallory and Bronco. The movie stars Elizabeth Atkinson, Reuben Francis and Terence Daniel.[4] The film held its world premiere at New Plymouth on 19 March 2024 and was released nationwide on 28 March.[2]","Rachel House, [, 1, ]","Desray Armstrong, [, 1, ], Morgan Waru, [, 1, ]","Elizabeth Atkinson, [, 1, ], Terence Daniel, [, 1, ], Reuben Francis, [, 1, ], Byron Coll, [, 1, ], Troy Kingi, [, 1, ], Sukena Shah, [, 1, ], Fern Sutherland, [, 1, ]",New Zealand,English,No date
The Mouse Trap,"The Mouse Trap is a 2024 Canadian supernatural slasher film[1][2] directed, shot and edited by Jamie Bailey and written by Simon Phillips. It is a horror reimagining of Walt Disney's 1928 animated short film Steamboat Willie, the first appearance of Mickey Mouse. The film stars Phillips as a hypnotized manager masked as Mickey, who traps and terrorizes a group of friends inside an amusement arcade.",Jamie Bailey,Mem Ferda,"Sophie McIntosh, Callum Sywyk, Allegra Nocita, Ben Harris, Mireille Gagné, Mackenzie Mills, James Laurin, Kayleigh Styles, Jesse Nasmith, Madeline Kelman, Damir Kovic, Nick Biskupek, Simon Phillips",Canada,English,06-08-2024
The Movie Man,"The film was released on February 12, 2024, at the 39th Santa Barbara International Film Festival.[1]",Matt Finlin,Karen Barzilay,No data,Canada,English,No date
"MoviePass, MovieCrash","MoviePass, MovieCrash is a 2024 American documentary film directed by Muta’Ali. It explores the rise, fall and resurrection of movie subscription service MoviePass.",Muta’Ali,"Mark Wahlberg, Stephen Levinson, Archie Gips, Jack Heller, Scott Veltri, Jevon Frank, David Wendall",No data,United States,English,09-03-2024
Moyurakkhi,"Moyurakkhi is a 2024 Bangladeshi thriller film directed by Rashid Polash and story, screenplay and dialogue by Golam Rabbani. It was produced by Chowdhury Nizam Nishow and executive producer is Shahadat Hossain Liton. Associate director is Mst.ayesha siddika. The music of the film was directed by Jahid Nirob.[1] Bobby Haque and Sudeep Kumar Deep played the lead roles and Sadia Afreen Mahi, Sumit Sengupta, Deepak Suman and others played the supporting roles. It was scheduled to release on 17 June 2024 on holiday Eid al-Adha.[2]",Rashid Polash,Chowdhury Nizam Nishow,"Bobby Haque, Sudeep Kumar Deep, Sadia Afreen Mahi, Sumit Sengupta, Deepak Suman",Bangladesh,Bengali,17-06-2024
Mrs.,"Mrs. is a 2024 Indian Hindi-language drama film which is a remake of the 2021 Malayalam film The Great Indian Kitchen. Starring Sanya Malhotra and directed by Arati Kadav, it tells the story of a newly-wed woman who has to navigate regressive patriarchal traditions. Nishant Dahiya and Kanwaljit Singh co-star.[2]",Arati Kadav,"Harman Baweja, Pammi Baweja, Smitha Baliga, Abdul Aziz Makani, Jyoti Deshpande","Sanya Malhotra, Nishant Dahiya, Kanwaljit Singh",India,Hindi,22-11-2024
Mrudhu Bhave Dhruda Kruthye,Sahasra Expertise (Co-Producer),Shajoon Kariyal,Dr Vijayshanker Menon,"Sooraj Sun, Sravana TN, Maria Prince, Dinesh Panicker, Suresh Krishna, Anil Anto, Seema G. Nair",India,Malayalam,No date
Mudakkaruthaan,Mudakkaruthaan (transl. Disabled) is 2024 Indian Tamil-language action film written and directed by Dr.K.Veera Babu. The film stars Dr.K.Veerababu and Mahan. The film was produced under the banner of Vayal Movies.[1],Dr.K.Veera Babu,No data,"Dr.K.Veera Babu, Mahana",India,Tamil,25-01-2024
